first_name,gender,country,occurrences,rn
Banoo,F,AF,98,32
Samira,F,AF,96,33
Jan,F,AF,94,34
Ali,F,AF,94,35
Mohammad,F,AF,90,36
Fatema,F,AF,90,37
Madina,F,AF,90,38
Dunya,F,AF,86,39
Sama,F,AF,85,40
Sh,F,AF,85,41
Hadia,F,AF,84,42
Zuhal,F,AF,84,43
Zohra,F,AF,82,44
Shadokht,F,AF,81,45
Arezo,F,AF,81,46
Mina,F,AF,80,47
Mariam,F,AF,80,48
Hawa,F,AF,75,49
Farida,F,AF,75,50
Shadukht,F,AF,75,51
Meena,F,AF,75,52
Zohal,F,AF,72,53
Afghan,F,AF,72,54
Nadia,F,AF,71,55
Morsal,F,AF,70,56
Sonia,F,AF,69,57
Sa,F,AF,69,58
Donya,F,AF,68,59
Angel,F,AF,68,60
Haya,F,AF,67,61
Khadija,F,AF,66,62
Safa,F,AF,65,63
Husna,F,AF,64,64
Narges,F,AF,63,65
Aisha,F,AF,63,66
Nazanin,F,AF,62,67
Nilofar,F,AF,62,68
Fahima,F,AF,62,69
Setayesh,F,AF,61,70
Nasrin,F,AF,60,71
Khatera,F,AF,59,72
Asal,F,AF,59,73
Salma,F,AF,57,74
Mah,F,AF,57,75
Razia,F,AF,57,76
Prince,F,AF,56,77
Fariha,F,AF,55,78
Lida,F,AF,54,79
Noor,F,AF,53,80
Manizha,F,AF,52,81
Mahnaz,F,AF,51,82
Tahmina,F,AF,50,83
Princes,F,AF,50,84
Jamila,F,AF,49,85
Sarah,F,AF,48,86
Pari,F,AF,48,87
Muska,F,AF,48,88
Rahil,F,AF,48,89
Najia,F,AF,47,90
Mustafa,F,AF,47,91
Darya,F,AF,47,92
Rana,F,AF,47,93
Sadia,F,AF,47,94
Bahara,F,AF,47,95
Farhat,F,AF,46,96
Marzia,F,AF,46,97
Ma,F,AF,46,98
Maria,F,AF,45,99
Kawsar,F,AF,45,100
Sosan,F,AF,45,101
Love,F,AF,44,102
Yusra,F,AF,44,103
Sharifa,F,AF,44,104
Hasenat,F,AF,44,105
Hamida,F,AF,44,106
Elaha,F,AF,43,107
Sima,F,AF,43,108
Na,F,AF,43,109
Frozan,F,AF,43,110
Zakia,F,AF,43,111
Abdullah,F,AF,43,112
Khalida,F,AF,42,113
Mar,F,AF,42,114
Haji,F,AF,42,115
Sam,F,AF,41,116
Mehr,F,AF,41,117
Nahid,F,AF,41,118
Nilab,F,AF,41,119
Hasina,F,AF,41,120
Marjan,F,AF,41,121
Sofia,F,AF,41,122
Halima,F,AF,41,123
Somaya,F,AF,40,124
Zoya,F,AF,40,125
Yasna,F,AF,40,126
Muzhgan,F,AF,40,127
Shabana,F,AF,40,128
Farah,F,AF,40,129
Latifa,F,AF,39,130
Parwana,F,AF,39,131
Elnaz,F,AF,39,132
Lovely,F,AF,39,133
Elham,F,AF,39,134
Frishta,F,AF,39,135
Nada,F,AF,39,136
Ba,F,AF,39,137
Ha,F,AF,38,138
Omar,F,AF,38,139
Parisa,F,AF,38,140
Karima,F,AF,38,141
Sahil,F,AF,38,142
Hosna,F,AF,38,143
Negin,F,AF,38,144
Tanha,F,AF,37,145
Queen,F,AF,37,146
Raha,F,AF,37,147
Sona,F,AF,37,148
Saba,F,AF,37,149
Gul,F,AF,36,150
Hasti,F,AF,36,151
Hayat,F,AF,36,152
Palwasha,F,AF,36,153
Nabila,F,AF,36,154
Ghazal,F,AF,36,155
Zuhra,F,AF,35,156
Lima,F,AF,35,157
Nafisa,F,AF,35,158
Najwa,F,AF,35,159
Sakina,F,AF,35,160
Amir,F,AF,35,161
Arzoo,F,AF,35,162
Amina,F,AF,34,163
Shakila,F,AF,34,164
Diana,F,AF,34,165
Mena,F,AF,34,166
Sediqa,F,AF,33,167
Farhad,F,AF,33,168
Rabia,F,AF,33,169
Nazifa,F,AF,33,170
Susan,F,AF,33,171
Shahdokht,F,AF,33,172
Aziza,F,AF,33,173
Ayat,F,AF,33,174
Amena,F,AF,33,175
Alina,F,AF,32,176
Najiba,F,AF,32,177
Sohaila,F,AF,32,178
Fariba,F,AF,32,179
Mahtab,F,AF,31,180
Nooria,F,AF,31,181
Najla,F,AF,31,182
Yasamin,F,AF,31,183
Liza,F,AF,31,184
Asad,F,AF,31,185
Ayesha,F,AF,31,186
Alia,F,AF,30,187
Lina,F,AF,30,188
Shah,F,AF,30,189
Omid,F,AF,30,190
Masoma,F,AF,30,191
Muzhda,F,AF,30,192
Hamid,F,AF,30,193
Wahida,F,AF,30,194
Humaira,F,AF,29,195
Fa,F,AF,29,196
Yosra,F,AF,29,197
Parwin,F,AF,29,198
Harir,F,AF,29,199
Maro,F,AF,29,200
Mohammad,M,AF,3827,1
Ahmad,M,AF,3820,2
Ali,M,AF,2119,3
Haji,M,AF,1902,4
Abdullah,M,AF,1797,5
Abdul,M,AF,1694,6
Omid,M,AF,1527,7
Hamid,M,AF,1476,8
Khan,M,AF,1455,9
Mustafa,M,AF,1446,10
Khalid,M,AF,1220,11
Farhad,M,AF,1193,12
Sayed,M,AF,1151,13
Muhammad,M,AF,1047,14
Ajmal,M,AF,941,15
Prince,M,AF,891,16
Farid,M,AF,864,17
Haroon,M,AF,833,18
Fahim,M,AF,803,19
Wahid,M,AF,786,20
Rohullah,M,AF,764,21
Faisal,M,AF,752,22
Mirwais,M,AF,751,23
Jawad,M,AF,734,24
Aziz,M,AF,730,25
Omar,M,AF,726,26
Habib,M,AF,715,27
Ramin,M,AF,696,28
Afghan,M,AF,681,29
Samiullah,M,AF,676,30
Amir,M,AF,670,31
Hamed,M,AF,650,32
Fawad,M,AF,650,33
Nasir,M,AF,630,34
Samim,M,AF,623,35
Sami,M,AF,610,36
Jan,M,AF,606,37
Shah,M,AF,588,38
Sahil,M,AF,586,39
Sultan,M,AF,578,40
Noor,M,AF,570,41
Asadullah,M,AF,556,42
Bashir,M,AF,554,43
Bilal,M,AF,546,44
Amin,M,AF,544,45
Rahmatullah,M,AF,543,46
Mahdi,M,AF,534,47
Reza,M,AF,527,48
Samir,M,AF,522,49
Najibullah,M,AF,509,50
Habibullah,M,AF,505,51
Hamidullah,M,AF,505,52
Safiullah,M,AF,504,53
Zabihullah,M,AF,503,54
Noorullah,M,AF,503,55
Tamim,M,AF,502,56
Qais,M,AF,495,57
Arash,M,AF,495,58
Shahzada,M,AF,493,59
Mansoor,M,AF,491,60
Milad,M,AF,485,61
Jamshid,M,AF,481,62
Zabiullah,M,AF,479,63
Jawid,M,AF,470,64
Basir,M,AF,461,65
Imran,M,AF,458,66
Shafiq,M,AF,449,67
Hasib,M,AF,449,68
Ehsan,M,AF,449,69
Zabi,M,AF,444,70
Ismail,M,AF,432,71
Khalil,M,AF,430,72
Ibrahim,M,AF,426,73
Murtaza,M,AF,423,74
Asad,M,AF,416,75
Naser,M,AF,414,76
Mujtaba,M,AF,413,77
Rahim,M,AF,408,78
Hameed,M,AF,405,79
Asif,M,AF,402,80
Arif,M,AF,396,81
Sharif,M,AF,395,82
Wahidullah,M,AF,394,83
Naweed,M,AF,394,84
Rafi,M,AF,385,85
Najib,M,AF,377,86
Amanullah,M,AF,377,87
Waheed,M,AF,373,88
Obaidullah,M,AF,372,89
Shoaib,M,AF,370,90
Najeeb,M,AF,368,91
Naqibullah,M,AF,367,92
Mahmood,M,AF,365,93
Azizullah,M,AF,361,94
Jawed,M,AF,360,95
Hashmat,M,AF,351,96
Zia,M,AF,349,97
Shams,M,AF,347,98
Dawood,M,AF,346,99
Zubair,M,AF,346,100
Rahmat,M,AF,345,101
Zahid,M,AF,340,102
Masoud,M,AF,340,103
Hassan,M,AF,335,104
Said,M,AF,334,105
Sameer,M,AF,332,106
Matiullah,M,AF,330,107
Karim,M,AF,328,108
Wali,M,AF,328,109
Mostafa,M,AF,322,110
Hussain,M,AF,319,111
Aman,M,AF,319,112
Farzad,M,AF,318,113
Nazir,M,AF,317,114
Saboor,M,AF,312,115
Parwiz,M,AF,311,116
Elham,M,AF,309,117
Aimal,M,AF,309,118
Edris,M,AF,308,119
Sardar,M,AF,307,120
Atiqullah,M,AF,306,121
Elyas,M,AF,302,122
Ehsanullah,M,AF,301,123
Obaid,M,AF,300,124
Tariq,M,AF,296,125
Masood,M,AF,295,126
Rashid,M,AF,295,127
Hashmatullah,M,AF,293,128
Salim,M,AF,290,129
Rafiullah,M,AF,284,130
Fardin,M,AF,283,131
Esmatullah,M,AF,283,132
Shafi,M,AF,282,133
Sohrab,M,AF,282,134
Arman,M,AF,281,135
Ghulam,M,AF,280,136
Hasibullah,M,AF,278,137
Wais,M,AF,278,138
Hayatullah,M,AF,275,139
Yama,M,AF,273,140
Jamil,M,AF,271,141
Nasim,M,AF,271,142
Safi,M,AF,269,143
Qasim,M,AF,267,144
Abid,M,AF,267,145
Nasrat,M,AF,263,146
Javed,M,AF,262,147
Saeed,M,AF,262,148
Sadiq,M,AF,261,149
Aminullah,M,AF,261,150
Najeebullah,M,AF,259,151
Hafizullah,M,AF,256,152
Omer,M,AF,255,153
Rahman,M,AF,254,154
Nawid,M,AF,253,155
Hamza,M,AF,250,156
Javid,M,AF,249,157
Shafiqullah,M,AF,247,158
Akbar,M,AF,247,159
Ezatullah,M,AF,244,160
Zahir,M,AF,244,161
Naseer,M,AF,244,162
Jamal,M,AF,244,163
Shabir,M,AF,243,164
Hafiz,M,AF,238,165
Maiwand,M,AF,237,166
Naeem,M,AF,237,167
Sohail,M,AF,236,168
Gul,M,AF,234,169
Hakim,M,AF,233,170
Walid,M,AF,230,171
Yasin,M,AF,228,172
Nabi,M,AF,228,173
Hadi,M,AF,225,174
Ab,M,AF,224,175
Zaki,M,AF,223,176
Ahmadullah,M,AF,220,177
Rahimullah,M,AF,217,178
Saifullah,M,AF,217,179
Nematullah,M,AF,216,180
Naveed,M,AF,215,181
Fazal,M,AF,215,182
Kamran,M,AF,213,183
Aryan,M,AF,211,184
Naqib,M,AF,210,185
Mohamad,M,AF,209,186
Suliman,M,AF,208,187
Emran,M,AF,208,188
Raees,M,AF,204,189
Qudratullah,M,AF,204,190
Shafiullah,M,AF,204,191
Osman,M,AF,202,192
Saber,M,AF,202,193
Nasratullah,M,AF,201,194
Nasrullah,M,AF,200,195
Shahid,M,AF,200,196
Reshad,M,AF,197,197
Farooq,M,AF,196,198
Yaser,M,AF,194,199
Jalil,M,AF,194,200
Ana,F,AL,1728,1
Alma,F,AL,956,2
Ina,F,AL,945,3
Anila,F,AL,935,4
Mimoza,F,AL,883,5
Mira,F,AL,858,6
Ela,F,AL,849,7
Sara,F,AL,846,8
Anxhela,F,AL,832,9
Elona,F,AL,801,10
Valbona,F,AL,764,11
Mirela,F,AL,751,12
Shpresa,F,AL,746,13
Vjollca,F,AL,745,14
Anisa,F,AL,725,15
Albana,F,AL,710,16
Majlinda,F,AL,700,17
Lindita,F,AL,680,18
Klea,F,AL,636,19
Vera,F,AL,632,20
Blerina,F,AL,621,21
Drita,F,AL,605,22
Jona,F,AL,600,23
Luljeta,F,AL,569,24
Aferdita,F,AL,527,25
Ornela,F,AL,523,26
Eva,F,AL,522,27
Sonila,F,AL,518,28
Merita,F,AL,517,29
Kristina,F,AL,510,30
Jonida,F,AL,505,31
Aida,F,AL,502,32
Megi,F,AL,495,33
Suela,F,AL,494,34
Valentina,F,AL,490,35
Dhurata,F,AL,484,36
Denisa,F,AL,480,37
Alda,F,AL,480,38
Violeta,F,AL,480,39
Liljana,F,AL,479,40
Ada,F,AL,479,41
Era,F,AL,470,42
Matilda,F,AL,463,43
Elsa,F,AL,462,44
Flora,F,AL,461,45
Miranda,F,AL,458,46
Irena,F,AL,456,47
Silvana,F,AL,452,48
Anna,F,AL,451,49
Teuta,F,AL,449,50
Rudina,F,AL,440,51
Dorina,F,AL,440,52
Alketa,F,AL,437,53
Linda,F,AL,424,54
Esmeralda,F,AL,423,55
Adelina,F,AL,421,56
Diana,F,AL,413,57
Elda,F,AL,408,58
Nertila,F,AL,403,59
Brunilda,F,AL,394,60
Enxhi,F,AL,388,61
Arta,F,AL,387,62
Entela,F,AL,386,63
Edlira,F,AL,382,64
Ilda,F,AL,382,65
Blerta,F,AL,379,66
Donika,F,AL,374,67
Aurora,F,AL,371,68
Bruna,F,AL,368,69
Suzana,F,AL,368,70
Manjola,F,AL,368,71
Flutura,F,AL,365,72
Eni,F,AL,363,73
Ermira,F,AL,361,74
Xheni,F,AL,359,75
Etleva,F,AL,355,76
Marsela,F,AL,349,77
Maria,F,AL,347,78
Adela,F,AL,346,79
Alba,F,AL,345,80
Migena,F,AL,345,81
Natasha,F,AL,343,82
Eda,F,AL,341,83
Zamira,F,AL,339,84
Pranvera,F,AL,338,85
Lola,F,AL,337,86
Fatbardha,F,AL,331,87
Bardha,F,AL,322,88
Marjeta,F,AL,317,89
Jeta,F,AL,315,90
Moza,F,AL,313,91
Zana,F,AL,311,92
Enkeleda,F,AL,306,93
Erisa,F,AL,303,94
Marinela,F,AL,302,95
Ola,F,AL,299,96
Marjana,F,AL,294,97
Stela,F,AL,294,98
Daniela,F,AL,290,99
Irma,F,AL,288,100
Elena,F,AL,278,101
Gerta,F,AL,277,102
Romina,F,AL,276,103
Sidorela,F,AL,273,104
Lori,F,AL,273,105
Elida,F,AL,272,106
Ani,F,AL,268,107
Ida,F,AL,266,108
Arjana,F,AL,265,109
Bora,F,AL,264,110
Eli,F,AL,262,111
Kejsi,F,AL,260,112
Lorena,F,AL,260,113
Besa,F,AL,259,114
Emanuela,F,AL,259,115
Joana,F,AL,258,116
Elvira,F,AL,258,117
Meri,F,AL,255,118
Laura,F,AL,255,119
Eri,F,AL,252,120
Klara,F,AL,246,121
Klodiana,F,AL,243,122
Rovena,F,AL,241,123
Fatmira,F,AL,239,124
Rajmonda,F,AL,237,125
Adriana,F,AL,236,126
Marsida,F,AL,234,127
Rita,F,AL,233,128
Fatime,F,AL,231,129
Egla,F,AL,229,130
Elisa,F,AL,229,131
Anjeza,F,AL,228,132
Greta,F,AL,227,133
Alesia,F,AL,225,134
Silva,F,AL,225,135
Vali,F,AL,223,136
Klaudia,F,AL,222,137
Olta,F,AL,222,138
Lida,F,AL,222,139
Viola,F,AL,221,140
Melisa,F,AL,220,141
Katerina,F,AL,219,142
Monda,F,AL,218,143
Bona,F,AL,217,144
Anita,F,AL,215,145
Leta,F,AL,211,146
Brikena,F,AL,209,147
Elisabeta,F,AL,209,148
Dea,F,AL,204,149
Lina,F,AL,204,150
Lili,F,AL,200,151
Leonora,F,AL,199,152
Armela,F,AL,199,153
Sindi,F,AL,197,154
Genta,F,AL,194,155
Arjola,F,AL,194,156
